1970-01-01 00:00:00: Hello, this is Vintas for Fat TV in the Against the Clock series and I'm going to start the
1970-01-01 00:00:16: clock now.
1970-01-01 00:00:17: Here we go.
1970-01-01 00:00:18: Here we go.
1970-01-01 00:00:48: Here we go.
1970-01-01 00:01:18: Here we go.
1970-01-01 00:01:48: Here we go.
1970-01-01 00:02:18: Here we go.
1970-01-01 00:02:48: Here we go.
1970-01-01 00:03:18: Here we go.
1970-01-01 00:03:48: Here we go.
1970-01-01 00:04:18: Here we go.
1970-01-01 00:04:48: Let's have a look how much time is left.
1970-01-01 00:04:55: Loads of time.
1970-01-01 00:05:18: Here we go.
1970-01-01 00:05:48: Here we go.
1970-01-01 00:05:49: Here we go.
1970-01-01 00:05:50: Here we go.
1970-01-01 00:05:51: Here we go.
1970-01-01 00:05:52: Here we go.
1970-01-01 00:05:53: Here we go.
1970-01-01 00:05:54: Here we go.
1970-01-01 00:05:55: Here we go.
1970-01-01 00:05:56: Here we go.
1970-01-01 00:05:57: Here we go.
1970-01-01 00:05:58: Here we go.
1970-01-01 00:05:59: Here we go.
1970-01-01 00:06:00: Here we go.
1970-01-01 00:06:01: Here we go.
1970-01-01 00:06:02: Here we go.
1970-01-01 00:06:03: Here we go.
1970-01-01 00:06:04: Here we go.
1970-01-01 00:06:05: Here we go.
1970-01-01 00:06:06: Here we go.
1970-01-01 00:06:07: Here we go.
1970-01-01 00:06:08: Here we go.
1970-01-01 00:06:09: Here we go.
1970-01-01 00:06:10: Here we go.
1970-01-01 00:06:11: Here we go.
1970-01-01 00:06:12: Here we go.
1970-01-01 00:06:13: Here we go.
1970-01-01 00:06:14: Here we go.
1970-01-01 00:06:15: Here we go.
1970-01-01 00:06:16: Here we go.
1970-01-01 00:06:17: Here we go.
1970-01-01 00:06:18: Here we go.
1970-01-01 00:06:19: Here we go.
1970-01-01 00:06:20: Here we go.
1970-01-01 00:06:21: Here we go.
1970-01-01 00:06:22: Here we go.
1970-01-01 00:06:23: Here we go.
1970-01-01 00:06:24: Here we go.
1970-01-01 00:06:25: Here we go.
1970-01-01 00:06:26: Here we go.
1970-01-01 00:06:27: Here we go.
1970-01-01 00:06:28: Here we go.
1970-01-01 00:06:29: Here we go.
1970-01-01 00:06:30: Here we go.
1970-01-01 00:06:31: Here we go.
1970-01-01 00:06:32: Here we go.
1970-01-01 00:06:33: Here we go.
1970-01-01 00:06:34: Here we go.
1970-01-01 00:06:35: Here we go.
1970-01-01 00:06:36: Here we go.
1970-01-01 00:06:37: Here we go.
1970-01-01 00:06:38: Here we go.
1970-01-01 00:06:39: Here we go.
1970-01-01 00:06:40: Here we go.
1970-01-01 00:06:41: Here we go.
1970-01-01 00:06:42: Here we go.
1970-01-01 00:06:43: Here we go.
1970-01-01 00:06:44: Here we go.
1970-01-01 00:06:45: Here we go.
1970-01-01 00:06:46: Here we go.
1970-01-01 00:06:47: Here we go.
1970-01-01 00:06:48: Here we go.
1970-01-01 00:06:49: Here we go.
1970-01-01 00:06:50: Here we go.
1970-01-01 00:06:51: Here we go.
1970-01-01 00:06:52: Here we go.
1970-01-01 00:06:53: Here we go.
1970-01-01 00:06:54: Here we go.
1970-01-01 00:06:55: Here we go.
1970-01-01 00:06:56: Here we go.
1970-01-01 00:06:57: Here we go.
1970-01-01 00:06:58: Here we go.
1970-01-01 00:06:59: Here we go.
1970-01-01 00:07:00: Here we go.
1970-01-01 00:07:01: Here we go.
1970-01-01 00:07:02: Here we go.
1970-01-01 00:07:03: Here we go.
1970-01-01 00:07:04: Here we go.
1970-01-01 00:07:05: Here we go.
1970-01-01 00:07:06: Here we go.
1970-01-01 00:07:07: Here we go.
1970-01-01 00:07:08: Here we go.
1970-01-01 00:07:09: Here we go.
1970-01-01 00:07:10: Here we go.
1970-01-01 00:07:11: Here we go.
1970-01-01 00:07:12: Here we go.
1970-01-01 00:07:13: Here we go.
1970-01-01 00:07:14: Here we go.
1970-01-01 00:07:15: Here we go.
1970-01-01 00:07:16: Here we go.
1970-01-01 00:07:17: Here we go.
1970-01-01 00:07:18: Here we go.
1970-01-01 00:07:19: Here we go.
1970-01-01 00:07:20: Here we go.
1970-01-01 00:07:21: Here we go.
1970-01-01 00:07:22: Here we go.
1970-01-01 00:07:23: Here we go.
1970-01-01 00:07:24: Here we go.
1970-01-01 00:07:25: Here we go.
1970-01-01 00:07:26: Here we go.
1970-01-01 00:07:27: Here we go.
1970-01-01 00:07:28: Here we go.
1970-01-01 00:07:29: Here we go.
1970-01-01 00:07:30: Here we go.
1970-01-01 00:07:31: Here we go.
1970-01-01 00:07:32: Here we go.
