1970-01-01 00:00:00: Mont TCP
1970-01-01 00:00:30: I'm so lonely that I'm hiding behind a wall
1970-01-01 00:00:37: I'm so lonely that I'm hiding behind a wall
1970-01-01 00:00:44: I'm so lonely that I'm hiding behind a wall
1970-01-01 00:00:53: Now I've been walking for three days and two lonely nights
1970-01-01 00:00:58: I know that I'm a mighty man
1970-01-01 00:01:01: But I got a woman waiting for me
1970-01-01 00:01:05: That's gonna make this trip worth a while
1970-01-01 00:01:09: You see, she's got the kind of loving and the kissing
1970-01-01 00:01:14: I'll make a man go stone wild
1970-01-01 00:01:16: So I got to keep on walking
1970-01-01 00:01:21: I got to walk on
1970-01-01 00:01:51: Gas, gas, gas, gas, gas, gas, gas, gas, gas
1970-01-01 00:02:07: Fifteen miles to go now
1970-01-01 00:02:10: And I can hear my baby calling my name
1970-01-01 00:02:14: It's as if it's so
1970-01-01 00:02:16: I'm standing at a front door
1970-01-01 00:02:18: I can hear her that don't go away
1970-01-01 00:02:22: Now I'll be so glad to see my baby
1970-01-01 00:02:26: And hold her in my arms one more time
1970-01-01 00:02:30: Now when I kiss her lips
1970-01-01 00:02:32: I'll turn her back over flip
1970-01-01 00:02:34: And I'll forget about the speed of light
1970-01-01 00:02:37: I got to keep on walking
1970-01-01 00:02:41: Hey, I got to walk on
1970-01-01 00:02:45: Listen to your heart
1970-01-01 00:02:49: Heart, heart, heart, heart, heart, heart, heart, heart
1970-01-01 00:02:56: I'm so tired
1970-01-01 00:02:58: But I just need to, to, to, to, to, to, to, to, to my side
1970-01-01 00:03:05: Come on, baby, don't feel me down
1970-01-01 00:03:35: Come on, baby, don't feel me down
1970-01-01 00:03:40: Come on, baby, don't feel me down
1970-01-01 00:03:45: Come on, baby, don't feel me down
1970-01-01 00:03:49: Come on, baby, don't feel me down
1970-01-01 00:03:54: Come on, baby, don't feel me down
1970-01-01 00:03:58: Come on, baby, don't feel me down
1970-01-01 00:04:02: Come on, baby, don't feel me down
1970-01-01 00:04:05: Come on, baby, don't feel me down
1970-01-01 00:04:08: Come on, baby, don't feel me down
1970-01-01 00:04:11: Come on, baby, don't feel me down
1970-01-01 00:04:14: Come on, baby, don't feel me down
1970-01-01 00:04:17: Come on, baby, don't feel me down
1970-01-01 00:04:20: Come on, baby, don't feel me down
1970-01-01 00:04:23: Come on, baby, don't feel me down
1970-01-01 00:04:26: Come on, baby, don't feel me down
1970-01-01 00:04:30: Come on, baby, don't feel me down
1970-01-01 00:04:33: Come on, baby, don't feel me down
1970-01-01 00:04:36: Come on, baby, don't feel me down
1970-01-01 00:04:59: Come on, baby, don't feel me down
1970-01-01 00:05:02: Come on, baby, don't feel me down
1970-01-01 00:05:05: Come on, baby, don't feel me down
1970-01-01 00:05:08: Come on, baby, don't feel me down
1970-01-01 00:05:11: Come on, baby, don't feel me down
