1970-01-01 00:00:00: What's up, boys?
1970-01-01 00:00:08: Southside808Mafia.
1970-01-01 00:00:09: Just started a new club online, only robes and pillows.
1970-01-01 00:00:12: I'm sleeping on you niggas.
1970-01-01 00:00:13: I'm not excited.
1970-01-01 00:00:14: You know what I'm saying?
1970-01-01 00:00:15: Going against the clock.
1970-01-01 00:00:16: Six minutes just killed this shit.
1970-01-01 00:00:18: Facts TV, we in here.
1970-01-01 00:00:19: I'm killing you niggas, facts.
1970-01-01 00:00:21: Free Agent 3 on the way.
1970-01-01 00:00:22: Go get that.
1970-01-01 00:00:23: Dirty Sprite 2 out right now.
1970-01-01 00:00:24: What a time to be alive.
1970-01-01 00:00:25: And Flocka Village 2 on the way.
1970-01-01 00:00:26: We in here.
1970-01-01 00:00:27: 808 to mob.
1970-01-01 00:01:59: I'm going to kill you.
1970-01-01 00:02:00: I'm going to kill you.
1970-01-01 00:02:01: I'm going to kill you.
1970-01-01 00:02:02: I'm going to kill you.
1970-01-01 00:02:03: I'm going to kill you.
1970-01-01 00:02:04: I'm going to kill you.
1970-01-01 00:02:05: I'm going to kill you.
1970-01-01 00:02:06: I'm going to kill you.
1970-01-01 00:02:07: I'm going to kill you.
1970-01-01 00:02:08: I'm going to kill you.
1970-01-01 00:02:09: I'm going to kill you.
1970-01-01 00:02:10: I'm going to kill you.
1970-01-01 00:02:11: I'm going to kill you.
1970-01-01 00:02:12: I'm going to kill you.
1970-01-01 00:02:13: I'm going to kill you.
1970-01-01 00:02:14: I'm going to kill you.
1970-01-01 00:02:15: I'm going to kill you.
1970-01-01 00:02:16: I'm going to kill you.
1970-01-01 00:02:17: I'm going to kill you.
1970-01-01 00:02:18: I'm going to kill you.
1970-01-01 00:02:19: I'm going to kill you.
1970-01-01 00:02:20: I'm going to kill you.
1970-01-01 00:02:21: I'm going to kill you.
1970-01-01 00:02:22: I'm going to kill you.
1970-01-01 00:02:24: I'm going to kill you.
1970-01-01 00:02:25: I'm going to kill you.
1970-01-01 00:02:26: I'm going to kill you.
1970-01-01 00:02:27: I'm going to kill you.
1970-01-01 00:02:28: I'm going to kill you.
1970-01-01 00:02:29: I'm going to kill you.
1970-01-01 00:02:30: I'm going to kill you.
1970-01-01 00:02:31: I'm going to kill you.
1970-01-01 00:02:32: I'm going to kill you.
1970-01-01 00:02:33: I'm going to kill you.
1970-01-01 00:02:34: I'm going to kill you.
1970-01-01 00:02:35: I'm going to kill you.
1970-01-01 00:02:36: I'm going to kill you.
1970-01-01 00:02:37: I'm going to kill you.
1970-01-01 00:02:38: I'm going to kill you.
1970-01-01 00:02:39: I'm going to kill you.
1970-01-01 00:02:40: I'm going to kill you.
1970-01-01 00:02:41: I'm going to kill you.
1970-01-01 00:02:42: I'm going to kill you.
1970-01-01 00:02:43: I'm going to kill you.
1970-01-01 00:02:44: I'm going to kill you.
1970-01-01 00:02:45: I'm going to kill you.
1970-01-01 00:02:46: I'm going to kill you.
1970-01-01 00:02:47: I'm going to kill you.
1970-01-01 00:02:49: I'm going to kill you.
1970-01-01 00:02:50: I'm going to kill you.
1970-01-01 00:02:51: I'm going to kill you.
1970-01-01 00:02:52: I'm going to kill you.
1970-01-01 00:02:53: I'm going to kill you.
1970-01-01 00:02:54: I'm going to kill you.
1970-01-01 00:02:55: I'm going to kill you.
1970-01-01 00:02:56: I'm going to kill you.
1970-01-01 00:02:57: I'm going to kill you.
1970-01-01 00:02:58: I'm going to kill you.
1970-01-01 00:02:59: I'm going to kill you.
1970-01-01 00:03:00: I'm going to kill you.
1970-01-01 00:03:01: I'm going to kill you.
1970-01-01 00:03:02: I'm going to kill you.
